region,mean_total,regret_vs_global_best
0,264.3015655616387,123.85623165568347
1,415.0560892009137,274.61075529495844
2,416.2070908420067,275.7617569360515
3,447.5728608121123,307.1275269061571
4,562.0965376031165,421.6512036971613
5,651.8490265207549,511.4036926147997
6,655.2131097828237,514.7677758768684
7,735.3859502495214,594.9406163435663
8,799.8371849063153,659.39185100036
9,766.4272162936298,625.9818823876747
10,813.4500993409712,673.004765435016
11,825.0450978650558,684.5997639591005
12,948.6797803829364,808.2344464769812
13,1027.2038059714625,886.7584720655072
14,1091.8730384232833,951.427704517328
15,1109.660314193785,969.2149802878298
16,1572.763938171868,1432.3186042659127
17,1954.5943802192935,1814.1490463133382
