region,size,mean_total,median_total,std_total,cv_total,q25_total,q75_total,min_total,max_total,mean_exec_beegfs_share,cv_exec_beegfs_share,mean_exec_local_share,cv_exec_local_share,mean_movement_share,cv_movement_share,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,nodes
0,717,36.99944974143085,38.42212740070662,9.604234740269009,0.2595777723016913,35.569816197293854,41.83368670626671,4.387327432501744,55.22137387922904,0.15286743575808134,1.2483491876634702,0.003826499215895406,0.44832559172658965,0.8433060657179078,0.22676366191260305,beegfs,*,*,*,*,*,*,beegfs,beegfs,*
1,507,81.71883923121571,81.0930837483742,3.9632933093578506,0.048499138590846695,78.27790324560297,84.00786991003403,76.23306040675511,96.5329271777064,0.036857152992629295,0.20584139593172235,0.0031305240459610886,0.28887799394165586,0.9600123189308666,0.0073234415801198645,beegfs,*,*,*,*,*,*,tmpfs,beegfs,*
2,507,96.69315147977059,98.12614130993774,9.790640518305757,0.10125474626146694,94.61244411998271,101.86296549741962,63.33481185006865,116.46206618542745,0.028674428685887852,0.3239795895001306,0.0031538481501530943,0.24163034190298413,0.9681717191486011,0.009306529919971928,beegfs,*,*,*,*,*,*,beegfs,tmpfs,*
3,507,146.91882781381378,146.7604309557415,4.929248195880831,0.033550827141961226,143.54513338541017,150.30715605714886,137.90410725197398,160.9795673167293,0.02044816729041753,0.19767568066533664,0.014745202149100772,0.40021896682402625,0.9648066288970345,0.008744794607781367,beegfs,*,*,*,*,*,*,ssd,beegfs,*
4,507,157.70082854352103,159.2398414432172,9.63094634834448,0.06107099396555553,155.8475572696608,162.94160147542985,124.44088064281377,172.73417901993605,0.01732406677431041,0.2722510682899421,0.0017798640441560156,0.24588644067349208,0.9808960730504241,0.0046962579725623056,beegfs,*,*,*,*,*,*,beegfs,ssd,*
5,507,246.6663080545521,250.4907772949614,9.209274341077741,0.03733495025612108,236.77117640495732,254.1435672422092,231.55910995284052,265.1153639220919,0.0068350721102252016,0.31984778805366076,0.0017598226562853812,0.24534495859022737,0.9914051034782022,0.0020130314125185564,beegfs,*,*,*,*,*,*,tmpfs,tmpfs,*
6,948,276.3613552072778,283.7773164962816,59.42343598930975,0.21502078662460136,278.9598895340364,319.676469037075,66.84641401385005,338.89727182187534,0.012906760653131092,0.8646482633286191,0.0035859157719343986,1.140298877722626,0.9835073230228679,0.012407778941526568,"ssd,tmpfs",*,*,*,*,*,*,"beegfs,tmpfs",beegfs,*
7,507,307.37151800819936,308.3418725279007,8.028432523446737,0.0261196371592002,300.7984554283971,313.6847395506792,291.1730493950065,328.0022154711988,0.0054796496912103065,0.31821355637715876,0.007516992353365939,0.3928199848443635,0.9870033592368155,0.004098075083711676,beegfs,*,*,*,*,*,*,ssd,ssd,*
8,492,318.64357786734536,340.22220287100095,60.521699751686285,0.18993541359519286,336.40641171881117,344.308726037615,125.8256618465515,358.82641082959634,0.006734411393797702,0.6345725248531556,0.004114724991211161,0.857535055347955,0.9891508614193386,0.005726256108845822,"ssd,tmpfs",*,*,*,*,*,*,beegfs,tmpfs,*
9,252,387.89423179993037,387.51285474891387,4.510412467377208,0.011627944160055482,384.9386787547296,390.56698575714336,380.93819422172146,404.12184306637806,0.005628958236296308,0.23026675369169772,0.010607769766518045,0.42168383494788547,0.9837632698911749,0.004764128317697035,ssd,*,*,*,*,*,*,ssd,beegfs,*
10,492,379.67025721427757,401.4015250347737,60.45521608412988,0.15923084554398023,397.5741907305745,405.4519471055624,186.89996722416203,415.8764547695848,0.005416120588090538,0.5155791598906395,0.003470969323165829,0.8616284186941261,0.9911129109732424,0.004161055408906612,"ssd,tmpfs",*,*,*,*,*,*,beegfs,ssd,*
11,252,489.16888183702406,493.26651502919617,9.13223963093812,0.018668889150599527,479.43249663212214,496.3278332720593,474.57272237649227,507.37170315178577,0.0017740075664803114,0.55401439737996,0.0010494235745242971,0.2545922855498753,0.9971765684272097,0.0008803912594089815,tmpfs,*,*,*,*,*,*,tmpfs,tmpfs,*
12,252,548.1081181104225,549.9944999927741,7.515698755953389,0.013712073416944479,541.3478464921745,553.1956490940136,534.207136364754,566.4584856867497,0.0015828018169286736,0.5538569664047243,0.007768347255589258,0.41616372514326566,0.9906488506027897,0.0033774438505601388,ssd,*,*,*,*,*,*,ssd,ssd,*
